GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED
Lineups,-1626157-1628969-1629011-1629013-1630631-,K. Towns - M. Bridges - M. Robinson - L. Shamet - J. Alvarado,1610612752,NYK,1,1,0,1.0,1.0,200.0,200.0,150.0,150.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.0,80.0,66.67,1,0.4,48,41,1,1,85,3,97,27,76,51,76,64,87,93,1,2,4,103,74,2700
Lineups,-1629013-1630574-1631110-1642278-1642359-,L. Shamet - A. Hukporti - J. Sochan - T. Kolek - P. Dadiet,1610612752,NYK,1,1,0,1.0,1.0,173.6,125.0,75.0,75.0,98.6,50.0,1.0,0.0,33.3,0.0,1.0,1.0,0.0,1.0,0.868,115.2,133.95,111.63,4,1.0,48,41,1,1,76,37,42,27,1,51,2,64,1,1,1,2,14,17,14,4300
Lineups,-1629013-1630540-1630631-1642278-1642359-,L. Shamet - M. McBride - J. Alvarado - T. Kolek - P. Dadiet,1610612752,NYK,1,1,0,1.0,1.0,0.0,0.0,200.0,100.0,-200.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,57.6,76.8,64.0,2,-4.0,48,41,1,1,79,87,57,98,76,51,76,64,87,93,106,85,87,107,111,3750
Lineups,-1628384-1628404-1628973-1629013-1630540-,O. Anunoby - J. Hart - J. Brunson - L. Shamet - M. McBride,1610612752,NYK,1,0,1,0.0,1.0,100.0,100.0,0.0,0.0,100.0,100.0,1.0,0.0,25.0,1.0,1.0,1.0,0.0,0.5,0.5,94.4,94.43,78.69,2,2.0,48,102,84,102,81,55,1,8,1,51,13,1,1,1,1,56,67,81,2,3050
Lineups,-1628384-1628969-1628973-1629011-1630540-,O. Anunoby - M. Bridges - J. Brunson - M. Robinson - M. McBride,1610612752,NYK,1,0,1,0.0,1.0,200.0,200.0,53.2,50.0,146.8,150.0,1.0,0.0,50.0,0.0,1.0,1.0,0.0,1.0,1.0,106.3,110.77,92.31,1,1.5,48,102,84,102,92,3,24,5,1,51,1,64,1,1,1,2,4,49,6,1950
Lineups,-1628973-1629013-1630574-1642278-1642885-,J. Brunson - L. Shamet - A. Hukporti - T. Kolek - M. Diawara,1610612752,NYK,1,1,0,1.0,0.0,0.0,0.0,113.6,100.0,-113.6,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.2,240.0,200.0,0,1.0,48,41,1,1,105,87,57,98,76,51,76,64,87,93,1,85,87,9,14,300
Lineups,-203903-1628404-1628969-1630574-1630631-,J. Clarkson - J. Hart - M. Bridges - A. Hukporti - J. Alvarado,1610612752,NYK,1,1,0,1.0,0.0,0.0,0.0,113.6,100.0,-113.6,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.2,130.91,109.09,0,1.0,48,41,1,1,103,87,57,98,76,51,76,64,87,93,1,85,87,19,14,550
Lineups,-203903-1628384-1628973-1629013-1630540-,J. Clarkson - O. Anunoby - J. Brunson - L. Shamet - M. McBride,1610612752,NYK,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.14,214.29,1,0.0,48,41,1,1,106,87,1,63,76,51,76,64,87,93,1,85,87,8,91,280
Lineups,-203903-1628384-1628404-1628969-1629011-,J. Clarkson - O. Anunoby - J. Hart - M. Bridges - M. Robinson,1610612752,NYK,1,1,0,1.0,0.0,0.0,0.0,113.6,100.0,-113.6,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,496.55,413.8,0,1.0,48,41,1,1,107,87,57,98,76,51,76,64,87,93,1,85,87,4,14,145
Lineups,-1628404-1628969-1628973-1629013-1630540-,J. Hart - M. Bridges - J. Brunson - L. Shamet - M. McBride,1610612752,NYK,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,65.2,195.48,162.9,2,1.0,48,41,1,1,97,87,1,63,76,51,76,64,1,57,1,85,87,12,14,1105
Lineups,-1628404-1628969-1629011-1629013-1630540-,J. Hart - M. Bridges - M. Robinson - L. Shamet - M. McBride,1610612752,NYK,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.1,847.07,705.89,0,0.0,48,41,1,1,108,87,1,63,76,51,76,64,87,93,1,85,87,3,91,85
Lineups,-1626157-1628404-1628969-1629013-1630631-,K. Towns - J. Hart - M. Bridges - L. Shamet - J. Alvarado,1610612752,NYK,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,48,41,1,1,111,87,1,63,76,51,76,64,87,93,1,85,87,111,14,0
Lineups,-1626157-1628384-1628404-1628969-1629013-,K. Towns - O. Anunoby - J. Hart - M. Bridges - L. Shamet,1610612752,NYK,2,2,0,1.0,0.0,0.0,0.0,300.0,300.0,-300.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,360.0,300.0,1,0.0,24,22,1,1,102,87,108,110,76,51,76,64,87,93,1,85,87,5,91,600
Lineups,-1628969-1629013-1630540-1630574-1630631-,M. Bridges - L. Shamet - M. McBride - A. Hukporti - J. Alvarado,1610612752,NYK,1,1,0,1.0,0.0,200.0,200.0,106.4,100.0,93.6,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,148.1,154.29,128.57,1,0.667,48,41,1,1,96,3,57,8,76,51,76,64,1,1,1,2,4,13,47,1400
Lineups,-1628384-1628404-1628973-1629011-1629013-,O. Anunoby - J. Hart - J. Brunson - M. Robinson - L. Shamet,1610612752,NYK,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7199.63,5999.69,1,1.0,48,41,1,1,110,87,1,63,76,51,76,64,1,1,1,85,87,1,14,20
Lineups,-1628384-1628404-1628969-1629013-1630540-,O. Anunoby - J. Hart - M. Bridges - L. Shamet - M. McBride,1610612752,NYK,3,2,1,0.667,0.0,0.0,0.0,116.3,133.3,-116.3,-133.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.2,264.22,220.18,1,-0.5,13,22,84,93,99,87,87,102,76,51,76,64,87,93,1,85,87,7,105,1090
Lineups,-1628384-1628404-1628969-1629011-1630540-,O. Anunoby - J. Hart - M. Bridges - M. Robinson - M. McBride,1610612752,NYK,1,1,0,1.0,0.0,0.0,0.0,200.0,200.0,-200.0,-200.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,207.2,207.19,172.66,1,-1.0,48,41,1,1,101,87,104,106,76,51,76,1,87,1,1,85,87,10,107,695
Lineups,-1628384-1628404-1629011-1629013-1630540-,O. Anunoby - J. Hart - M. Robinson - L. Shamet - M. McBride,1610612752,NYK,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,98.6,197.26,164.38,1,0.0,48,41,1,1,100,87,1,63,76,51,76,1,1,1,1,85,87,11,91,730
Lineups,-1628384-1628969-1628973-1629013-1630540-,O. Anunoby - M. Bridges - J. Brunson - L. Shamet - M. McBride,1610612752,NYK,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,65.5,65.45,54.55,1,1.0,48,41,1,1,98,87,1,63,76,51,76,64,87,93,111,85,87,109,14,1100
Lineups,-1628384-1628969-1629013-1630540-1631110-,O. Anunoby - M. Bridges - L. Shamet - M. McBride - J. Sochan,1610612752,NYK,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,175.6,351.22,292.68,1,0.0,48,41,1,1,104,87,1,63,76,51,76,64,1,1,1,85,87,6,91,410
Lineups,-1628384-1628969-1629011-1629013-1630540-,O. Anunoby - M. Bridges - M. Robinson - L. Shamet - M. McBride,1610612752,NYK,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1107.67,923.06,0,0.0,48,41,1,1,109,87,1,63,76,51,76,64,87,93,1,85,87,2,91,65
